InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
INV100036,NOTE702,Notebook A4,2,2021-11-23 00:45:57,12.52,C1460,United Kingdom,25.04
INV100037,BAG824,Reusable Bag,2,2020-01-15 02:35:05,14.84,C2205,USA,29.68
INV100038,NOTE172,Notebook A4,3,2020-03-05 12:01:49,27.06,C1468,United Kingdom,81.17999999999999
INV100039,HEADPH235,Headphones,1,2021-03-14 19:37:58,20.64,C1570,France,20.64
INV100040,LAMP348,Desk Lamp,3,2023-03-26 17:12:33,25.25,C2807,United Kingdom,75.75
INV100041,BOOK199,Technical Book,2,2021-01-24 03:26:03,17.12,C2653,United Kingdom,34.24
INV100042,BOOK984,Technical Book,3,2022-04-21 17:00:13,36.43,C1725,USA,109.28999999999999
INV100043,NOTE845,Notebook A4,5,2020-05-04 14:39:32,1.25,C2379,Germany,6.25
INV100044,NOTE294,Notebook A4,3,2021-05-24 06:58:32,6.57,C2764,United Kingdom,19.71
INV100045,BOOK573,Technical Book,4,2021-01-10 10:08:29,15.15,C1287,Germany,60.6
INV100046,NOTE200,Notebook A4,1,2022-06-26 20:02:12,25.98,C2890,United Kingdom,25.98
INV100047,PEN270,"Pen, Blue Ink",2,2020-07-10 08:36:22,23.86,C2107,USA,47.72
INV100048,BAG268,Reusable Bag,3,2022-04-01 02:08:05,34.33,C1985,France,102.99
INV100049,TSHIRT533,Company T-Shirt,2,2022-07-20 10:23:08,13.1,C1799,Canada,26.2
INV100050,PHONEC258,Phone Charger,2,2023-09-17 17:43:08,9.28,C2496,Spain,18.56
INV100051,PEN162,"Pen, Blue Ink",2,2023-04-01 19:44:26,16.56,C1445,Australia,33.12
INV100052,PEN614,"Pen, Blue Ink",1,2023-04-11 17:21:33,35.25,C1117,United Kingdom,35.25
INV100053,MUG182,Coffee Mug,2,2020-04-26 18:29:22,46.66,C2087,United Kingdom,93.32
INV100054,LAMP513,Desk Lamp,2,2020-05-19 08:33:48,22.05,C1140,Australia,44.1
INV100055,LAMP708,Desk Lamp,1,2021-05-19 21:04:40,38.43,C2823,USA,38.43
INV100056,BOOK678,Technical Book,2,2023-09-08 21:15:03,35.63,C1167,United Kingdom,71.26
INV100057,TSHIRT344,Company T-Shirt,3,2021-02-22 11:26:20,28.52,C2914,United Kingdom,85.56
INV100058,TSHIRT869,Company T-Shirt,2,2022-07-25 11:30:41,34.29,C1268,United Kingdom,68.58
INV100059,HEADPH202,Headphones,3,2023-06-26 20:29:52,24.45,C1019,United Kingdom,73.35
INV100060,PHONEC457,Phone Charger,2,2021-06-27 04:49:21,17.31,C1436,United Kingdom,34.62
INV100061,BAG261,Reusable Bag,4,2022-01-26 10:22:33,8.35,C2800,Australia,33.4
INV100062,TSHIRT641,Company T-Shirt,-2,2023-06-06 23:48:37,9.86,C2112,United Kingdom,-19.72
INV100063,PHONEC999,Phone Charger,1,2021-09-05 03:46:17,1.2,C2673,USA,1.2
INV100064,NOTE378,Notebook A4,1,2023-02-07 05:39:34,2.09,C1236,United Kingdom,2.09
INV100065,USB973,Usb Flash Drive,2,2021-02-20 23:05:30,19.75,C1431,USA,39.5
INV100066,TSHIRT749,Company T-Shirt,1,2020-04-14 03:21:37,37.27,C2000,United Kingdom,37.27
INV100067,PEN889,"Pen, Blue Ink",2,2020-01-08 12:08:39,12.34,C1566,United Kingdom,24.68
INV100068,MUG822,Coffee Mug,2,2022-06-23 20:05:09,7.71,C1536,USA,15.42
INV100069,NOTE658,Notebook A4,3,2020-06-03 05:25:36,25.03,C1019,United Kingdom,75.09
INV100070,LAMP540,Desk Lamp,2,2023-02-05 05:23:30,10.37,C1756,Spain,20.74
INV100071,USB315,Usb Flash Drive,3,2020-03-22 13:01:38,3.71,C1631,Canada,11.129999999999999
INV100072,NOTE995,Notebook A4,4,2021-12-25 20:23:05,23.17,C2365,United Kingdom,92.68
INV100073,MUG919,Coffee Mug,1,2021-04-29 05:54:59,11.78,C2271,Canada,11.78
INV100074,BOOK854,Technical Book,2,2020-02-20 06:31:49,17.83,C2805,USA,35.66
INV100075,BOOK373,Technical Book,1,2023-10-03 09:02:07,6.19,C2602,United Kingdom,6.19
INV100076,NOTE979,Notebook A4,1,2022-02-22 01:24:35,28.68,C2436,United Kingdom,28.68
INV100077,HEADPH940,Headphones,3,2021-12-17 11:06:41,18.48,C1408,Canada,55.44
INV100078,BAG508,Reusable Bag,1,2020-02-18 07:01:53,31.62,C1466,United Kingdom,31.62
INV100079,NOTE756,Notebook A4,3,2021-07-25 12:47:05,24.5,C2770,France,73.5
INV100080,PHONEC218,Phone Charger,1,2021-11-09 01:00:17,3.84,C2391,United Kingdom,3.84
INV100081,MUG139,Coffee Mug,1,2023-04-04 09:39:55,22.63,C1534,USA,22.63
INV100082,USB720,Usb Flash Drive,1,2021-10-04 15:53:19,61.17,C1889,United Kingdom,61.17
INV100083,BOOK360,Technical Book,1,2023-03-26 06:55:14,13.72,C1236,United Kingdom,13.72
INV100084,PEN803,"Pen, Blue Ink",1,2022-11-30 19:36:15,10.39,C1893,United Kingdom,10.39
INV100085,BAG171,Reusable Bag,4,2022-01-15 15:42:11,31.99,C2519,Canada,127.96
INV100086,USB779,Usb Flash Drive,2,2023-06-30 11:25:45,17.01,C2885,France,34.02
INV100087,TSHIRT782,Company T-Shirt,5,2022-11-04 11:15:38,42.5,C2474,United Kingdom,212.5
INV100088,TSHIRT296,Company T-Shirt,2,2023-02-09 04:38:03,36.49,C1824,Germany,72.98
INV100089,BOOK730,Technical Book,1,2023-10-19 06:20:10,37.9,C2925,United Kingdom,37.9
INV100090,PHONEC393,Phone Charger,1,2020-01-01 11:03:49,16.38,C1831,France,16.38
INV100091,LAMP429,Desk Lamp,1,2023-05-27 23:50:13,32.69,C2609,Germany,32.69
INV100092,BAG912,Reusable Bag,3,2022-11-12 17:13:41,6.25,C1905,Canada,18.75
INV100093,MUG390,Coffee Mug,3,2023-09-11 03:05:14,8.91,C2630,USA,26.73
INV100094,LAMP938,Desk Lamp,3,2021-11-17 03:24:00,13.89,C2296,United Kingdom,41.67
INV100095,TSHIRT250,Company T-Shirt,3,2021-04-05 07:15:00,20.78,C1481,Netherlands,62.34
INV100096,HEADPH566,Headphones,1,2023-06-05 02:39:05,4.53,C1501,Germany,4.53
INV100097,LAMP606,Desk Lamp,1,2021-02-02 13:58:48,15.57,C2289,United Kingdom,15.57
INV100098,PEN324,"Pen, Blue Ink",2,2020-08-06 15:28:44,19.6,C1302,Germany,39.2
INV100099,PHONEC670,Phone Charger,4,2022-08-09 01:49:42,24.43,C2961,United Kingdom,97.72
INV100100,NOTE920,Notebook A4,3,2022-07-23 04:51:17,3.09,C2737,United Kingdom,9.27
INV100101,PHONEC873,Phone Charger,4,2023-05-04 11:33:08,23.14,C2087,United Kingdom,92.56
INV100102,PHONEC556,Phone Charger,1,2022-05-23 19:56:50,2.08,C2254,Netherlands,2.08
INV100103,HEADPH869,Headphones,3,2022-07-10 09:26:12,8.02,C2523,United Kingdom,24.06
INV100104,TSHIRT741,Company T-Shirt,1,2022-12-03 17:38:37,17.92,C2305,Canada,17.92
INV100105,NOTE378,Notebook A4,4,2021-08-08 08:32:15,56.01,C1900,United Kingdom,224.04
INV100106,PHONEC254,Phone Charger,1,2020-06-14 05:02:16,14.02,C2828,USA,14.02
INV100107,MUG165,Coffee Mug,2,2023-12-17 07:47:23,19.41,C2421,France,38.82
INV100108,PHONEC163,Phone Charger,5,2022-08-12 15:08:16,15.57,C1677,United Kingdom,77.85
INV100109,BOOK977,Technical Book,4,2023-04-11 00:42:40,25.2,C1860,USA,100.8
INV100110,BOOK460,Technical Book,4,2022-09-03 00:12:52,2.72,C2179,Germany,10.88
INV100111,BOOK919,Technical Book,2,2023-01-07 19:53:02,8.36,C1798,Netherlands,16.72
INV100112,HEADPH546,Headphones,3,2021-03-25 09:56:14,20.18,C1451,Germany,60.54
INV100113,USB841,Usb Flash Drive,4,2023-10-01 14:43:14,25.28,C1796,Australia,101.12
INV100114,MUG127,Coffee Mug,1,2023-06-28 19:26:48,18.08,C1957,United Kingdom,18.08
INV100115,LAMP185,Desk Lamp,2,2023-09-19 00:59:12,38.01,C2212,United Kingdom,76.02
INV100116,HEADPH366,Headphones,3,2021-01-07 01:49:50,50.36,C1277,Spain,151.07999999999998
INV100117,HEADPH879,Headphones,2,2021-10-31 12:17:16,17.38,C1433,United Kingdom,34.76
INV100118,BOOK581,Technical Book,1,2021-05-31 02:58:55,11.6,C1569,United Kingdom,11.6
INV100119,PEN765,"Pen, Blue Ink",2,2021-12-17 08:09:49,33.94,C2104,Australia,67.88
INV100120,PEN304,"Pen, Blue Ink",4,2020-03-04 09:00:11,31.88,C2960,United Kingdom,127.52
INV100121,MUG584,Coffee Mug,1,2021-05-03 04:35:44,28.74,C2272,USA,28.74
INV100122,BAG885,Reusable Bag,6,2022-08-10 09:19:46,8.7,C2155,USA,52.199999999999996
INV100123,LAMP418,Desk Lamp,2,2020-08-22 05:57:45,20.64,C2240,Canada,41.28
INV100124,TSHIRT506,Company T-Shirt,1,2023-03-25 13:39:52,9.4,C1052,Australia,9.4
INV100125,NOTE348,Notebook A4,1,2023-04-27 22:50:13,24.2,C1406,United Kingdom,24.2
INV100126,TSHIRT924,Company T-Shirt,3,2023-11-02 21:51:37,18.58,C2582,Germany,55.739999999999995
INV100127,PEN538,"Pen, Blue Ink",1,2021-12-12 19:23:47,10.36,C2159,United Kingdom,10.36
INV100128,PHONEC112,Phone Charger,3,2023-08-19 12:25:25,16.82,C1141,United Kingdom,50.46
INV100129,HEADPH470,Headphones,1,2020-08-04 15:47:02,30.5,C2684,United Kingdom,30.5
INV100130,HEADPH545,Headphones,4,2023-12-19 05:34:12,26.29,C2697,United Kingdom,105.16
INV100131,TSHIRT893,Company T-Shirt,2,2023-06-15 19:35:39,23.76,C2068,United Kingdom,47.52
INV100132,LAMP972,Desk Lamp,2,2021-07-03 11:44:05,28.15,C1892,USA,56.3
INV100133,NOTE349,Notebook A4,2,2021-07-25 16:24:47,28.58,C2914,United Kingdom,57.16
INV100134,LAMP444,Desk Lamp,2,2023-09-30 13:47:54,10.58,C2167,France,21.16
INV100135,USB317,Usb Flash Drive,1,2021-01-07 17:45:04,14.86,C2742,USA,14.86
INV100136,USB818,Usb Flash Drive,2,2021-07-26 21:42:19,11.61,C1529,Canada,23.22
INV100137,PEN187,"Pen, Blue Ink",2,2022-11-24 06:57:22,21.23,C2138,France,42.46
INV100138,HEADPH807,Headphones,1,2023-02-11 08:44:59,33.38,C1832,United Kingdom,33.38
INV100139,HEADPH195,Headphones,1,2022-07-06 00:37:40,7.99,C2457,Netherlands,7.99
INV100140,BAG477,Reusable Bag,1,2021-09-19 21:10:25,13.86,C1828,Belgium,13.86
INV100141,USB438,Usb Flash Drive,4,2022-05-21 20:02:20,34.12,C2087,United Kingdom,136.48
INV100142,TSHIRT336,Company T-Shirt,1,2021-09-19 09:09:11,20.02,C1929,United Kingdom,20.02
INV100143,USB880,Usb Flash Drive,3,2020-09-01 19:30:36,50.73,C1394,United Kingdom,152.19
INV100144,BAG841,Reusable Bag,1,2022-09-18 10:04:01,23.87,C1392,United Kingdom,23.87
INV100145,PHONEC202,Phone Charger,4,2023-05-07 10:18:13,22.03,C2556,Spain,88.12
INV100146,BAG409,Reusable Bag,2,2022-01-09 06:31:59,27.12,C1606,United Kingdom,54.24
INV100147,MUG155,Coffee Mug,2,2021-07-15 01:39:25,19.13,C2093,France,38.26
INV100148,MUG205,Coffee Mug,1,2023-07-30 17:52:20,13.38,C2428,Spain,13.38
INV100149,TSHIRT551,Company T-Shirt,4,2022-08-19 17:25:46,18.78,C2175,Germany,75.12
INV100150,PEN216,"Pen, Blue Ink",3,2021-06-01 17:23:36,35.56,C2977,United Kingdom,106.68
INV100151,HEADPH744,Headphones,1,2020-05-31 21:00:31,45.03,C1820,USA,45.03
INV100152,MUG187,Coffee Mug,3,2023-02-26 11:03:44,44.22,C1310,United Kingdom,132.66
INV100153,PHONEC710,Phone Charger,2,2022-05-02 22:04:31,9.58,C1242,Canada,19.16
INV100154,PHONEC553,Phone Charger,1,2022-02-18 16:24:09,21.61,C1462,Belgium,21.61
INV100155,BOOK735,Technical Book,2,2021-09-17 20:42:11,5.97,C2205,USA,11.94
INV100156,NOTE316,Notebook A4,1,2021-03-01 22:46:27,17.73,C2966,United Kingdom,17.73
INV100157,MUG665,Coffee Mug,2,2021-05-06 06:19:42,20.58,C1166,United Kingdom,41.16
INV100158,BOOK581,Technical Book,1,2022-07-11 21:37:12,29.07,C1005,United Kingdom,29.07
INV100159,TSHIRT819,Company T-Shirt,2,2023-12-18 10:17:36,20.37,C1474,France,40.74
INV100160,BAG703,Reusable Bag,4,2021-06-25 22:45:27,17.43,C1145,United Kingdom,69.72
INV100161,BAG657,Reusable Bag,1,2022-05-20 04:10:43,23.88,C2912,Australia,23.88
INV100162,TSHIRT161,Company T-Shirt,2,2020-10-18 02:35:59,2.41,C1305,Australia,4.82
INV100163,LAMP549,Desk Lamp,1,2023-03-11 10:30:28,3.01,C1629,United Kingdom,3.01
INV100164,TSHIRT378,Company T-Shirt,4,2023-12-04 14:39:17,23.6,C2410,United Kingdom,94.4
INV100165,HEADPH140,Headphones,3,2020-06-13 21:46:25,24.66,C2011,Australia,73.98
INV100166,USB126,Usb Flash Drive,1,2023-05-21 09:06:56,9.85,C2504,United Kingdom,9.85
INV100167,LAMP883,Desk Lamp,3,2023-04-17 00:45:19,9.04,C2969,United Kingdom,27.119999999999997
INV100168,LAMP581,Desk Lamp,6,2020-03-23 06:22:42,2.1,C1551,Canada,12.600000000000001
INV100169,TSHIRT546,Company T-Shirt,1,2021-01-06 21:18:40,11.75,C1905,Canada,11.75
INV100170,NOTE518,Notebook A4,3,2022-08-20 12:40:07,28.47,C2007,USA,85.41
INV100171,NOTE521,Notebook A4,2,2020-11-25 12:00:28,38.1,C2372,Canada,76.2
INV100172,BOOK565,Technical Book,2,2023-01-31 01:20:09,35.81,C1590,United Kingdom,71.62
INV100173,USB985,Usb Flash Drive,1,2020-08-25 14:42:56,19.86,C1516,United Kingdom,19.86
INV100174,PHONEC155,Phone Charger,1,2022-08-04 15:02:45,8.47,C1002,Belgium,8.47
INV100175,LAMP552,Desk Lamp,1,2022-10-17 22:46:13,52.34,C1740,France,52.34
INV100176,TSHIRT394,Company T-Shirt,2,2023-01-29 04:46:12,51.35,C1416,United Kingdom,102.7
INV100177,HEADPH745,Headphones,1,2020-09-05 01:03:03,21.1,C2430,France,21.1
INV100178,MUG114,Coffee Mug,2,2021-09-28 20:03:19,14.18,C1490,France,28.36
INV100179,BAG220,Reusable Bag,1,2020-08-20 16:48:02,44.0,C1190,United Kingdom,44.0
INV100180,HEADPH822,Headphones,1,2021-08-20 18:31:38,27.72,C1315,Netherlands,27.72
INV100181,HEADPH567,Headphones,2,2022-08-25 08:52:26,26.57,C2709,Spain,53.14
INV100182,BAG864,Reusable Bag,5,2023-05-12 18:30:16,51.36,C1785,Canada,256.8
INV100183,NOTE448,Notebook A4,1,2021-07-19 15:06:27,1.45,C2769,United Kingdom,1.45
INV100184,TSHIRT843,Company T-Shirt,2,2020-01-06 10:17:52,27.39,C2039,United Kingdom,54.78
INV100185,LAMP986,Desk Lamp,1,2023-09-13 17:49:38,21.29,C2202,United Kingdom,21.29
INV100186,HEADPH665,Headphones,2,2021-12-07 12:06:13,41.89,C2103,Canada,83.78
INV100187,HEADPH814,Headphones,1,2021-10-21 06:52:07,38.63,C1772,United Kingdom,38.63
INV100188,BAG425,Reusable Bag,2,2022-04-21 01:35:20,2.24,C1784,United Kingdom,4.48
INV100189,BOOK255,Technical Book,3,2022-03-01 23:44:21,30.07,C2444,Canada,90.21000000000001
INV100190,MUG439,Coffee Mug,1,2022-10-25 21:29:16,52.5,C1075,Belgium,52.5
INV100191,HEADPH567,Headphones,1,2020-07-23 19:08:57,17.29,C2790,United Kingdom,17.29
INV100192,BOOK176,Technical Book,1,2023-09-02 05:37:12,1.16,C1295,France,1.16
INV100193,TSHIRT809,Company T-Shirt,5,2021-11-24 22:41:31,5.05,C2984,United Kingdom,25.25
INV100194,USB489,Usb Flash Drive,2,2023-10-13 19:25:42,2.83,C1164,United Kingdom,5.66
INV100195,HEADPH732,Headphones,2,2023-01-13 01:18:25,31.96,C2283,United Kingdom,63.92
INV100196,TSHIRT544,Company T-Shirt,1,2021-04-10 03:17:26,24.21,C2292,Germany,24.21
INV100197,NOTE810,Notebook A4,3,2022-06-27 06:03:25,18.16,C2557,United Kingdom,54.480000000000004
INV100198,PEN400,"Pen, Blue Ink",3,2021-10-26 02:02:35,32.69,C1059,United Kingdom,98.07
INV100199,MUG521,Coffee Mug,4,2021-05-15 19:20:21,16.64,C1882,United Kingdom,66.56
INV100200,MUG180,Coffee Mug,1,2020-12-14 06:22:26,2.21,C2623,Australia,2.21
INV100201,LAMP609,Desk Lamp,2,2023-10-31 08:46:06,26.45,C1783,United Kingdom,52.9
INV100202,BAG360,Reusable Bag,1,2022-08-02 23:13:31,20.06,C1293,United Kingdom,20.06
INV100203,PEN793,"Pen, Blue Ink",4,2022-08-10 10:28:20,23.98,C2365,United Kingdom,95.92
INV100204,HEADPH406,Headphones,1,2021-12-08 21:23:34,22.64,C1151,United Kingdom,22.64
INV100205,TSHIRT303,Company T-Shirt,1,2022-07-24 10:59:59,36.79,C1868,Canada,36.79
INV100206,HEADPH490,Headphones,1,2020-08-06 08:38:11,26.22,C2747,United Kingdom,26.22
INV100207,TSHIRT122,Company T-Shirt,1,2023-12-03 10:44:56,13.69,C2177,United Kingdom,13.69
INV100208,BOOK679,Technical Book,2,2021-07-16 00:17:41,4.69,C2348,Australia,9.38
INV100209,PEN952,"Pen, Blue Ink",1,2023-05-26 18:05:07,4.71,C2593,United Kingdom,4.71
INV100210,BAG324,Reusable Bag,3,2023-05-28 12:49:39,30.99,C1586,United Kingdom,92.97
INV100211,TSHIRT797,Company T-Shirt,1,2023-10-21 00:00:00,27.94,C2271,Canada,27.94
INV100212,NOTE140,Notebook A4,3,2023-07-09 23:31:57,32.75,C2286,United Kingdom,98.25
INV100213,PEN849,"Pen, Blue Ink",5,2023-04-01 13:17:03,17.23,C1902,United Kingdom,86.15
INV100214,TSHIRT279,Company T-Shirt,1,2021-10-31 15:07:40,48.03,C2862,United Kingdom,48.03
INV100215,PHONEC613,Phone Charger,1,2022-01-19 19:19:39,26.75,C2610,Canada,26.75
INV100216,MUG925,Coffee Mug,2,2021-06-10 17:32:36,30.76,C2700,Australia,61.52
INV100217,USB177,Usb Flash Drive,3,2020-08-23 17:03:05,3.55,C2782,France,10.649999999999999
INV100218,BAG966,Reusable Bag,2,2023-10-17 14:28:09,37.23,C2979,USA,74.46
INV100219,NOTE370,Notebook A4,5,2022-03-19 00:30:24,35.93,C1749,Spain,179.65
INV100220,USB698,Usb Flash Drive,2,2023-10-09 09:32:42,27.59,C1931,USA,55.18
INV100221,USB582,Usb Flash Drive,4,2020-08-09 08:30:47,32.68,C2307,USA,130.72
INV100222,PHONEC326,Phone Charger,1,2021-11-02 22:12:44,10.31,C2810,Netherlands,10.31
INV100223,HEADPH764,Headphones,1,2023-12-06 11:00:08,42.67,C2301,Australia,42.67
INV100224,PEN604,"Pen, Blue Ink",1,2020-03-17 11:04:53,3.77,C1286,France,3.77
INV100225,PHONEC564,Phone Charger,4,2020-10-04 14:09:00,15.64,C1480,Spain,62.56
INV100226,PHONEC860,Phone Charger,3,2022-05-08 21:23:03,24.65,C2944,USA,73.94999999999999
INV100227,BOOK953,Technical Book,1,2023-09-03 03:36:18,41.8,C2813,United Kingdom,41.8
INV100228,TSHIRT322,Company T-Shirt,2,2020-03-08 13:29:26,31.4,C1835,United Kingdom,62.8
INV100229,BAG802,Reusable Bag,2,2022-01-12 03:37:02,15.12,C2946,United Kingdom,30.24
INV100230,USB382,Usb Flash Drive,4,2020-05-04 14:29:44,15.46,C2846,United Kingdom,61.84
INV100231,HEADPH757,Headphones,2,2020-07-06 07:43:21,23.15,C1250,United Kingdom,46.3
INV100232,PEN349,"Pen, Blue Ink",2,2020-04-13 12:08:33,11.56,C2988,United Kingdom,23.12
INV100233,LAMP949,Desk Lamp,1,2021-02-24 02:29:52,44.01,C2611,Spain,44.01
INV100234,LAMP436,Desk Lamp,2,2021-03-18 08:28:59,4.25,C1424,United Kingdom,8.5
INV100235,LAMP979,Desk Lamp,1,2020-01-06 10:05:42,39.54,C2615,Netherlands,39.54
INV100236,PHONEC212,Phone Charger,4,2021-05-28 06:21:11,15.6,C1266,Netherlands,62.4
INV100237,MUG908,Coffee Mug,1,2020-01-31 13:02:35,1.11,C1052,Australia,1.11
INV100238,USB371,Usb Flash Drive,1,2020-02-02 06:20:38,26.16,C2205,USA,26.16
INV100239,BOOK863,Technical Book,1,2022-12-13 04:08:16,20.27,C2519,Canada,20.27
INV100240,USB211,Usb Flash Drive,1,2022-11-17 21:36:52,43.7,C1918,USA,43.7
INV100241,LAMP633,Desk Lamp,2,2020-03-29 23:59:23,11.8,C1453,Canada,23.6
INV100242,PEN967,"Pen, Blue Ink",1,2020-05-04 17:26:21,19.75,C2317,Belgium,19.75
INV100243,NOTE175,Notebook A4,1,2022-10-01 16:08:58,2.74,C2405,France,2.74
INV100244,LAMP229,Desk Lamp,3,2020-10-30 02:23:29,12.8,C1659,Germany,38.400000000000006
INV100245,LAMP490,Desk Lamp,3,2023-01-28 11:50:22,16.93,C2296,United Kingdom,50.79
INV100246,TSHIRT719,Company T-Shirt,1,2022-07-18 18:24:23,38.85,C2086,Spain,38.85
INV100247,NOTE998,Notebook A4,2,2023-09-02 23:41:56,36.21,C2624,United Kingdom,72.42
INV100248,BAG333,Reusable Bag,3,2022-05-30 16:26:26,29.27,C2476,USA,87.81
INV100249,HEADPH847,Headphones,1,2022-03-27 15:08:44,26.11,C2694,United Kingdom,26.11
INV100250,USB483,Usb Flash Drive,3,2023-09-24 09:16:48,3.97,C1874,United Kingdom,11.91
INV100251,HEADPH951,Headphones,4,2020-05-17 03:19:17,28.71,C2406,USA,114.84
INV100252,NOTE669,Notebook A4,2,2022-02-02 04:44:14,20.65,C1884,USA,41.3
INV100253,PHONEC786,Phone Charger,1,2023-02-24 12:00:07,18.38,C2959,USA,18.38
INV100254,BOOK714,Technical Book,3,2020-04-15 10:28:20,46.16,C1724,Germany,138.48
INV100255,LAMP258,Desk Lamp,1,2022-11-05 07:44:44,13.61,C1212,Spain,13.61
INV100256,NOTE476,Notebook A4,3,2021-12-18 20:15:10,13.46,C1459,United Kingdom,40.38
INV100257,LAMP965,Desk Lamp,2,2021-04-08 15:37:24,24.95,C1570,France,49.9
INV100258,LAMP670,Desk Lamp,1,2023-06-10 23:23:59,9.24,C2571,United Kingdom,9.24
INV100259,TSHIRT379,Company T-Shirt,1,2020-02-29 06:34:07,10.64,C2902,USA,10.64
INV100260,USB285,Usb Flash Drive,1,2021-12-19 00:13:20,46.58,C1632,France,46.58
INV100261,BOOK858,Technical Book,2,2020-05-22 05:09:55,16.49,C2159,United Kingdom,32.98
INV100262,NOTE485,Notebook A4,6,2022-12-22 07:49:57,42.26,C1062,USA,253.56
INV100263,MUG838,Coffee Mug,2,2022-01-27 11:20:46,31.22,C1698,United Kingdom,62.44
INV100264,LAMP153,Desk Lamp,3,2023-05-06 03:05:35,9.21,C2928,Spain,27.630000000000003
INV100265,LAMP378,Desk Lamp,4,2020-04-11 02:58:13,1.72,C2545,France,6.88
INV100266,HEADPH524,Headphones,2,2023-05-28 16:05:39,50.89,C1868,Canada,101.78
INV100267,PHONEC540,Phone Charger,1,2020-08-21 12:34:02,9.5,C2546,USA,9.5
INV100268,LAMP783,Desk Lamp,2,2022-09-23 19:11:06,10.64,C2388,Australia,21.28
INV100269,BOOK107,Technical Book,2,2023-05-12 01:59:40,21.06,C1451,Germany,42.12
INV100270,BAG396,Reusable Bag,3,2020-10-08 09:18:11,16.82,C2936,United Kingdom,50.46
